CSLAP Number,Lake Name,Waterbody Index Number,Elevation (meters),Area (hectares),Water Quality Classification,DEC Region,County,Town,Watershed Area (hectares),Mean Depth (meters),Watershed Name,Bathymetric Map available?,Public Access Description,Public Access?,Public/Private Access,Latitude,Longitude,Priority Waterbody List Number,Number of Years Sampled,Trophic State,Sampling Years,Depth (feet),Area (acres),Last Year Sampled,Georeference
57,Canadarago Lake,SR-204-P392,389,766.6,A(T),4,Otsego,Richfield Springs,17500,10.1,Susquehanna River,yes,yes,yes,public ramp,42.81579222,-75.00644893,0601-0016,10,Mesotrophic,1989-1993/2017-2024,33.1,1893.5,2024,POINT (-75.00644893 42.81579222)
91,Round Pond,H-204- 2-36- 4- 1-P80,529,5.2,A,4,Rensselaer,Berlin,57,2.2,Lower Hudson River,no,no,no,private beach,42.6446,-73.43552,1310-0044,25,Mesotrophic,1991-1995/2001-2011/2013-2024,7.2,12.8,2024,POINT (-73.43552 42.6446)
169,Eagle Lake,H-391..39-P432..P438,288,170.9,B,5,Essex,Ticonderoga,997,5.4,Upper Hudson River,yes,yes,yes,public ramp,43.88033123,-73.58626545,1104-0235,22,Oligotrophic,2000-2024,17.7,422.1,2024,POINT (-73.58626545 43.88033123)
37,Craine Lake,SR- 44-76-P146,332,10.4,C,7,Madison,Hamilton,50,3.7,Susquehanna River,yes,no,no,private beach,42.76052,-75.55785,0602-0108,24,Mesotrophic,1988-1994/1996-1998/2000/2001/2007/2009-2024,12.1,25.7,2024,POINT (-75.55785 42.76052)
192,Weiden Pond,D-53-1-16-1-P245,295,25.9,B,3,Sullivan,Tusten,3150,1.4,Delaware River,no,no,no,private beach launches,41.59426567,-74.98280751,1401-0124,17,Eutrophic,2004-2013/2015-2024,4.6,64,2024,POINT (-74.98280751 41.59426567)
46,Bradley Brook Reservoir,SR- 44-80-P154,436,57,B,7,Madison,West Eaton,663,4.2,Susquehanna River,yes,no,no,lakefront only,42.83427692,-75.66129414,0602-0111,24,Mesotrophic,1988-2001/2011-2014/2016-2024,13.8,140.8,2024,POINT (-75.66129414 42.83427692)
205,Lake Oscaleta,H- 31-P44-35-P109- 6..P118/ P119,144,23.3,B,3,Westchester,South Salem,645,6.8,Lower Hudson River,no,no,no,lakefront only,41.29654714,-73.56154283,1302-0141,14,Mesoeutrophic,2006-2011/2013-2024,22.3,57.6,2024,POINT (-73.56154283 41.29654714)
48,Lamoka Lake,Pa  3-58-15-P47,335,334.1,A,8,Schulyer,Tyrone,7250,6.6,Chemung River,no,yes,yes,public ramp,42.39657963,-77.08490377,0502-0001,6,Eutrophic,1988-1990/2020-2024,21.6,825.2,2024,POINT (-77.08490377 42.39657963)
72,Lorton Lake,ONT-53-8-P8,285,18.2,C,7,Oswego,Albion,1000,1.4,Lake Ontario,no,no,no,private beach,43.503741,-75.89079,0303-0016,26,Mesotrophic,1990-1994/2000-2013/2015-2024,4.6,45,2024,POINT (-75.89079 43.503741)
158,Lake Luzerne,H-370-P318,190,38.9,B,5,Warren,Lake Luzerne,5710,7.3,Upper Hudson River,no,yes,yes,public cartop launch,43.32281251,-73.83249514,1104-0075,7,Mesoligotrophic,1999-2004/2020-2024,23.9,96.1,2024,POINT (-73.83249514 43.32281251)
2,Lake Carmel,H- 31-P44-23-P59- 6-P62..P62a,189,77.7,B,3,Putnam,Carmel,3405,2.4,Lower Hudson River,yes,no,no,lakefront only,41.45819409,-73.66492893,1302-0006,11,Eutrophic,1986-1990/2016-2024,7.9,191.9,2024,POINT (-73.66492893 41.45819409)
69,Geneganslet Lake,SR- 44-23-35-P88,454,41.4,B,7,Chenango,McDonough,1305,8.5,Susquehanna River,no,no,no,lakefront only,42.51645,-75.77491,0602-0096,29,Mesoligotrophic,1990-2010/2012-2016/2018-2024,27.9,102.3,2024,POINT (-75.77491 42.51645)
103,Panther Lake,Ont  66-11-P26-24-22-15-P94,183,49.2,B,7,Oswego,Constantia,398,2.6,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,43.32937976,-75.9087266,0703-0082,12,Mesotrophic,1993-1997/2014-2024,8.4,121.5,2024,POINT (-75.9087266 43.32937976)
120,Augur Lake,C- 25- 8-P213,168,152.8,A,5,Essex,Chesterfield,1134,3,Lake Champlain,yes,no,no,lakefront only,44.45995813,-73.50007675,1004-0050,23,Mesotrophic,1997-2001/2003-2024,9.9,377.4,2024,POINT (-73.50007675 44.45995813)
21,Tuscarora Lake,Ont  66-11-P26-37-47-P164,460,124.3,B,7,Madison,Erieville,1340,4.3,Seneca/Oneida/Oswego Rivers,yes,no,no,lakefront only,42.86651821,-75.75589184,0703-0022,35,Mesotrophic,1986-2013/2015-2024,14.1,307,2024,POINT (-75.75589184 42.86651821)
28,Brant Lake,H-391-31-P347,243,556.9,AAspec,5,Warren,Brant Lake,10300,9.1,Upper Hudson River,no,yes,yes,public ramp,43.71327946,-73.7052721,1104-0037,12,Mesoligotrophic,1987-1991/1999-2003/2019-2024,29.8,1375.5,2024,POINT (-73.7052721 43.71327946)
1,Lake Lucille,NJ- 1/P977a-12-P982b,36,5.2,B,3,Rockland,New City,1091,1.2,Lower Hudson River,yes,no,no,lakefront only,41.18370102,-73.99752518,1501-0017,15,Eutrophic,1986-1990/2012-2024,3.9,12.8,2024,POINT (-73.99752518 41.18370102)
102,Lake Lincolndale,H- 31-P44-17- 5-P57a,145,7.8,B,3,Westchester,Somers,131,2,Lower Hudson River,no,no,no,private beach,41.34137587,-73.72560393,1302-0089,25,Eutrophic,1993-2005/2007-2009/2013-2024,6.5,19.3,2024,POINT (-73.72560393 41.34137587)
134,Lime Lake,Ont 158..E-23-48-3-P130,499,62.2,B,9,Cattaraugus,Machias,389,5.5,Lake Erie/Niagara River,yes,yes,yes,public carry down,42.42756932,-78.48004154,0104-0001,16,Mesoeutrophic,1997-1999/2001/2002/2005/2011-2014/2016-2024,18,153.6,2024,POINT (-78.48004154 42.42756932)
181,Taconic Pond,H-264-38-12-P1129,499,13,C(T),4,Rensselaer,Grafton,115,4.7,Upper Hudson River,no,no,no,lakefront only,42.7353162,-73.4126407,1102-0029,15,Mesoligotrophic,2002/2003/2006/2007/2009-2011/2013-2024,15.4,32.1,2024,POINT (-73.4126407 42.7353162)
150,Mohegan Lake,H- 55-11-P179,136,41.4,B,3,Westchester,Yorktown,262,2.4,Lower Hudson River,no,no,no,private beaches,41.3145921,-73.85052911,1301-0149,23,Eutrophic,1998-2024,7.9,102.3,2024,POINT (-73.85052911 41.3145921)
49,Sodus Bay,Ont  84/P96,75,1358.5,B,8,Wayne,Sodus Point,192100,3.9,Lake Ontario,no,yes,yes,public and private ramps,43.24853087,-76.95807838,0302-0020,17,Mesoeutrophic,1988-1991/2001-2005/2013-2024,12.8,3355.5,2024,POINT (-76.95807838 43.24853087)
266,Upper Rhoda Pond,H-188-55-P889,165,29.5,B,4,Columbia,Copake,306,1.2,Lower Hudson River,no,no,no,private lakefront only,42.0946999,-73.5892029,1308-0018,1,Mesotrophic,2021/2022/2023-2024,3.9,72.8,2024,POINT (-73.5892029 42.0946999)
220,We Wah Lake,NJ-12-15-P1005,151,23.3,B,3,Orange,Tuxedo,1671,2.5,Raritan/Newark Bay,no,no,no,private beach,41.21579211,-74.19463791,1501-0049,10,Mesoeutrophic,2008-2012/2014-2016/2019/2021/2022/2023-2024,8.2,57.6,2024,POINT (-74.19463791 41.21579211)
210,Little Long Pond,(MW7.1b) AO-P790-P799/ P800/ P803,5,5.2,C,1,Suffolk,Southampton,98,2.9,Long Island Sound/Atlantic Ocean,no,no,no,no access,40.93326184,-72.32088643,1701-0291,14,Mesotrophic,2006-2009/2011-2024,9.4,12.8,2024,POINT (-72.32088643 40.93326184)
183,Forest Lake,H-236-22-11-P441,475,7.8,A,4,Rensselaer,Grafton,85,2.2,Lower Hudson River,no,no,no,lakefront only,42.7319753,-73.46103404,1301-0267,15,Mesoligotrophic,2003-2006/2008-2011/2013-2024,7.2,19.3,2024,POINT (-73.46103404 42.7319753)
258,Fresh Pond,SIS-SI-P458,1,6,C,1,Suffolk,Shelter Island,73,6,Long Island Sound/Atlantic Ocean,yes,yes,yes,public carry down/ informal,41.05710637,-72.33632714,1701-0241,4,Mesoeutrophic,2018-2024,19.7,14.1,2024,POINT (-72.33632714 41.05710637)
236,Montgomery Lake,D-30-2-P186,351,7.8,B,3,Sullivan,Highland,69,4.7,Delaware River,no,no,no,private lakefront only,41.52539582,-74.91719097,1401-0091,8,Mesoeutrophic,2012-2024,15.4,19.3,2024,POINT (-74.91719097 41.52539582)
234,Tully Lake,SR-44-14-60-P68,364,93.2,B,7,Cortland,Tully,69,4.7,Susquehanna River,yes,yes,yes,public hand launch,42.77651921,-76.13528477,0602-0018,10,Mesotrophic,2012-2024,15.4,230.2,2024,POINT (-76.13528477 42.77651921)
50,Lake Bonaparte,SL-25-  7/P1- 3-55-P24,234,520.6,B,6,Lewis,Harrisville,4770,9.4,St. Lawrence River,yes,yes,yes,public ramp,44.14926394,-75.39267283,0906-0016,25,Mesoligotrophic,1988-1992/1998-2001/2007-2024,30.8,1285.9,2024,POINT (-75.39267283 44.14926394)
45,Lake Como,Ont  66-12-P296- 74-P333,399,25.9,B,7,Cayuga,Summerhill,410,2.9,Seneca/Oneida/Oswego Rivers,yes,no,no,private ramp,42.67738347,-76.30235766,0705-0029,31,Mesoeutrophic,1988-1994/1997-2024,9.5,64,2024,POINT (-76.30235766 42.67738347)
38,Lebanon Reservoir,SR- 44-79-P153,399,36.3,B(T),7,Madison,Lebanon,1289,6.4,Susquehanna River,yes,yes,yes,public ramp,42.8033211,-75.6067665,0602-0109,24,Mesoeutrophic,1988-1994/1997-2001/2003-2005/2011-2013/2015-2019/2021/2022/2023-2024,21,89.7,2024,POINT (-75.6067665 42.8033211)
82,Friends Lake,H-391-33-8-P365,278,183.9,AAspec,5,Warren,Chester,1440,4.2,Upper Hudson River,no,no,no,lakefront only,43.62589795,-73.84461464,1104-0205,24,Mesotrophic,1991-1995/2001-2010/2012-2014/2016-2022,13.8,454.2,2024,POINT (-73.84461464 43.62589795)
190,Smith Pond,Pa  3-58-31- 7-P66,493,18.1,B,8,Steuben,Howard,143,3.8,Chemung River,no,no,no,lakefront only,42.38878839,-77.47447635,0502-0012,16,Eutrophic,2003-2011/2013-2022/2024,12.3,44.7,2024,POINT (-77.47447635 42.38878839)
209,Long Pond,SIS-132-P702,4,27.9,C,1,Suffolk,Southampton,461,1,Long Island Sound/Atlantic Ocean,no,yes,yes,public launch,40.975739,-72.291392,1701-0353,6,Mesoeutrophic,2016-2024,3.3,68.9,2024,POINT (-72.291392 40.975739)
31,Melody Lake,SR- 44-14-27-23-P39,427,15.5,C,7,Cortland,Willet,500,2.1,Susquehanna River,no,no,no,lakefront only,42.470198,-75.874422,0602-0053,31,Mesoeutrophic,1987-1991/1997-2024,6.9,38.3,2024,POINT (-75.874422 42.470198)
230,Kirk Lake,H- 31-P44-14- 7-P52,179,49.2,B,3,Putnam,Carmel,1053,3.1,Lower Hudson River,no,no,no,private beach,41.38732075,-73.75234857,1302-0080,10,Eutrophic,2011-2024,10,121.5,2024,POINT (-73.75234857 41.38732075)
36,Hatch Lake,SR- 44-80-P154-1-P155,448,54.4,B,7,Madison,West Eaton,354,6.6,Susquehanna River,yes,no,no,lakefront only,42.83468044,-75.67786932,0602-0112,23,Mesotrophic,1988-1996/1998-2001/2003/2004/2011-2014/2016-2024,21.6,134.4,2024,POINT (-75.67786932 42.83468044)
215,Eagle Pond,SL(C)-32- 6-P73-26-P78/ P83,445,15.5,C,5,Franklin,Duane,132,0.4,St. Lawrence River,no,no,no,lakefront only,44.66915534,-74.27428203,0902-0104,12,Mesoligooeutrophic,2006-2013/2015-2024,1.3,38.3,2024,POINT (-74.27428203 44.66915534)
68,Galway Lake,H-240- 69-P563,259,209.8,B,5,Saratoga,Galway,2392,2.6,Mohawk River,no,no,no,lakefront only,43.03063211,-74.07539778,1201-0110,29,Mesotrophic,1990-1997/2000-2010/2012-2024,8.5,518.2,2024,POINT (-74.07539778 43.03063211)
53,Anawanda Lake,D- 1-38-3-2-P41,549,15.5,B(T),3,Sullivan,Callicoon Center,80,6.6,Delaware River,no,no,no,private beach,41.85708,-74.963,1402-0054,32,Mesoligotrophic,1988-1993/1995/1996/1998-2024,21.6,38.3,2024,POINT (-74.963 41.85708)
109,Orange Lake,H- 94- 6-P340,149,165.8,B,3,Orange,Newburgh,2703,2.5,Lower Hudson River,no,no,no,lakefront only,41.54873895,-74.1035787,1301-0008,17,Eutrophic,1994-1998/2002/2005/2011-2024,8.2,409.5,2024,POINT (-74.1035787 41.54873895)
89,Pleasant Lake,Ont  66-11-14a-P19,123,15.5,B,7,Oswego,Schroeppel,51,1.4,Seneca/Oneida/Oswego Rivers,no,no,no,lakefront only,43.23616,-76.22482,0703-0047,22,Eutrophic,1991-1995/1998/2001/2002/2007-2012/2014-2024,4.6,38.3,2024,POINT (-76.22482 43.23616)
203,Timber Lake,H- 31-P44-23-P59- 6-P62..P62a,80,2.9,B,3,Westchester,Lewisboro,85,1.5,Lower Hudson River,no,no,no,lakefront only,41.29387045,-73.66304989,1302-0006,11,Eutrophic,2006/2009-2011/2014-2019/2021/2022/2023-2024,4.9,7.2,2024,POINT (-73.66304989 41.29387045)
160,Lake of the Woods,SL-25-  7/P1- 3-17-P 9,100,67.3,C,6,Jefferson,Alexandria,270,13,St. Lawrence River,yes,yes,yes,public cartop launch,44.31551181,-75.72710782,0906-0038,16,Oligotrophic,1999-2005/2008/2015-2019/2021/2022/2023-2024,42.6,166.2,2024,POINT (-75.72710782 44.31551181)
100,Peck Lake,H-240-127-25-P686,424,554.3,C,5,Fulton,Bleeker,4960,5.8,Mohawk River,no,no,no,private ramp,43.11461031,-74.41234212,1201-0016,18,Mesoligotrophic,1992-1996/2008-2012/2014-2024,19,1369.1,2024,POINT (-74.41234212 43.11461031)
59,Robinson Pond,H-188-P902,162,46.6,B(T),4,Columbia,Copake,906,4,Lower Hudson River,no,yes,yes,public beach,42.11876,-73.55578,1308-0003,19,Eutrophic,1989-1993/2007-2012/2014-2024,13.1,115.1,2024,POINT (-73.55578 42.11876)
265,Waneta Lake,Pa 3-58-15-P47- 4-P48,334,317.5,A,8,Schuyler,Tyrone,2544,4,Chemung River,yes,yes,yes,public launch,42.4445,-77.101799,0502-0002,2,Eutrophic,2020-2024,12,784.5,2024,POINT (-77.101799 42.4445)
260,Seven Hills Lake,H- 31-P44-23..P76..P77c,194,19,B,3,Putnam,Kent,1513,1.8,Lower Hudson River,no,no,no,no access,41.4841003,-73.7491989,1302-0121,3,Mesoeutrophic,2019-2024,5.9,47,2024,POINT (-73.7491989 41.4841003)
136,Loon Lake,Pa  3-58-38..P79,518,67.3,B,8,Steuben,Wayland,602,6.1,Chemung River,no,no,no,lakefront only,42.49276274,-77.56723663,0502-0039,28,Mesotrophic,1997-2024,20,166.2,2024,POINT (-77.56723663 42.49276274)
90,Plymouth Reservoir,SR- 44-54- 8-P107,534,31.1,B,7,Chenango,Plymouth,434,1.3,Susquehanna River,no,no,no,lakefront only,42.58810121,-75.6511257,0602-0014,30,Mesotrophic,1991-2010/2012-2024,4.3,76.8,2024,POINT (-75.6511257 42.58810121)
113,Indian Lake,H- 55- 2- 4-P167,150,20.7,A,3,Putnam,Putnam Valley,88.8,9.2,Lower Hudson River,no,no,no,lakefront only,41.3731,-73.8877,1301-0143,24,Mesotrophic,1994-1996/1998-2001/2003-2011/2013-2024,30.176,51.129,2024,POINT (-73.8877 41.3731)
